Name,BirthDate,BirthCity,BirthStateProvince,BirthCountry,PrimaryField,MainContribution
Timothy Nguyen,1955-09-15,Toronto,Ontario,Canada,Branding Consultancy,Consumer Decision Journey Modelling
Thomas Lewis,1970-07-03,New York City,New York,United States,Brand Management,Pricing Elasticity and Consumer Choice Architecture
Justin Smith,1914-05-13,Mumbai,Maharashtra,India,Marketing Science,Cross-Cultural Consumer Behavior Analysis
Karen Ramos,1900-04-03,London,,United Kingdom,Marketing Science,Retail Shopper Psychology and In-Store Decision Dynamics
Charles Torres,1945-04-06,Chicago,Illinois,United States,Brand Strategy,Service Quality and Customer Satisfaction Metrics
John Thomas,1959-02-13,Cape Town,,South Africa,Advertising Strategy,Brand Personality Scale and Self-Congruity Theory
Ashley Nelson,1916-07-02,Cairo,,Egypt,Luxury Brand Strategy,Digital Attribution and Customer Lifetime Value Modeling
Karen Morgan,1965-10-13,Amsterdam,,Netherlands,Consumer Behavior,Retail Shopper Psychology and In-Store Decision Dynamics
Kimberly Garcia,1977-08-23,Tokyo,,Japan,Behavioral Economics,Brand Equity Valuation Frameworks
Paul Allen,1952-05-19,Cape Town,,South Africa,Product Marketing,Retail Shopper Psychology and In-Store Decision Dynamics
George Wright,1961-10-10,Sydney,New South Wales,Australia,Marketing Science,Digital Attribution and Customer Lifetime Value Modeling
Patricia Thompson,1931-02-14,Singapore,,Singapore,Innovation Strategy,Empirical Generalizations in Marketing
Jennifer Clark,1978-06-04,Milan,,Italy,Marketing Science,Consumer Decision Journey Modelling
Matthew King,1977-02-18,London,,United Kingdom,Retail Strategy,Pricing Elasticity and Consumer Choice Architecture
Laura Reyes,1925-02-22,Berlin,,Germany,Product Marketing,Retail Shopper Psychology and In-Store Decision Dynamics
Pamela Evans,1907-09-06,Paris,,France,Digital Marketing Research,Pricing Elasticity and Consumer Choice Architecture
Margaret Young,1927-11-25,New York City,New York,United States,Retail Strategy,Neuromarketing and Emotional Engagement Measurement
Charles Robinson,1933-12-04,Sydney,New South Wales,Australia,Marketing Analytics,Omnichannel Retail Strategy and Customer Experience
Mary Taylor,1982-01-06,Stockholm,,Sweden,Digital Marketing Research,Neuromarketing and Emotional Engagement Measurement
Justin Martin,1957-07-26,New York City,New York,United States,Customer Psychology,Omnichannel Retail Strategy and Customer Experience
George Mendoza,1920-11-13,Paris,,France,Consumer Research,Service Quality and Customer Satisfaction Metrics
Daniel Martin,1967-09-09,Buenos Aires,,Argentina,Branding Consultancy,Neuromarketing and Emotional Engagement Measurement
Matthew Flores,1941-01-05,Stockholm,,Sweden,Behavioral Economics,Innovation Diffusion and New Product Adoption Models
Samuel Jenkins,1946-02-14,Toronto,Ontario,Canada,Digital Marketing Research,Pricing Elasticity and Consumer Choice Architecture
Carol Taylor,1981-05-13,Sydney,New South Wales,Australia,Consumer Behavior,Brand Personality Scale and Self-Congruity Theory
Charles Ramos,1937-11-22,New York City,New York,United States,Brand Management,Social Media Influence and Word-of-Mouth Propagation
Brenda Mitchell,1933-09-24,Mumbai,Maharashtra,India,Behavioral Economics,Empirical Generalizations in Marketing
Andrew Williams,1927-06-12,Melbourne,Victoria,Australia,Marketing Science,Digital Attribution and Customer Lifetime Value Modeling
Maria White,1912-09-17,Cairo,,Egypt,Digital Marketing Research,Omnichannel Retail Strategy and Customer Experience
Jennifer Kim,1945-05-06,London,,United Kingdom,Product Marketing,Empirical Generalizations in Marketing
Mark Wilson,1934-09-03,Amsterdam,,Netherlands,Advertising Strategy,Brand Equity Valuation Frameworks
Matthew Cruz,1923-11-25,Sydney,New South Wales,Australia,Advertising Strategy,Brand Equity Valuation Frameworks
Angela Walker,1915-01-08,Melbourne,Victoria,Australia,Customer Psychology,Luxury Brand Scarcity and Prestige Positioning
Jack Long,1933-05-06,Tokyo,,Japan,Consumer Research,Retail Shopper Psychology and In-Store Decision Dynamics
Jessica Davis,1956-12-16,Stockholm,,Sweden,Retail Strategy,Cross-Cultural Consumer Behavior Analysis
Maria Richardson,1906-04-15,Cape Town,,South Africa,Market Research,Brand Personality Scale and Self-Congruity Theory
Deborah Garcia,1971-06-27,Sydney,New South Wales,Australia,Marketing Science,Neuromarketing and Emotional Engagement Measurement
Janet Powell,1927-12-23,Melbourne,Victoria,Australia,Brand Management,B2B Relationship Marketing Frameworks
Charles Jones,1955-04-18,Chicago,Illinois,United States,Service Marketing,Brand Personality Scale and Self-Congruity Theory
Jeffrey Harris,1916-11-26,Melbourne,Victoria,Australia,Behavioral Economics,B2B Relationship Marketing Frameworks
Ronald Wilson,1944-03-11,Milan,,Italy,Marketing Science,Service Quality and Customer Satisfaction Metrics
Emily Ross,1927-11-11,New York City,New York,United States,Product Marketing,Omnichannel Retail Strategy and Customer Experience
Patricia Price,1953-12-25,Amsterdam,,Netherlands,Market Research,Behavioral Nudges in Consumer Choice
Edward Jones,1983-04-09,Chicago,Illinois,United States,Consumer Research,Consumer Decision Journey Modelling
Scott Robinson,1914-10-21,Zurich,,Switzerland,Marketing Strategy,Digital Attribution and Customer Lifetime Value Modeling
Scott Cook,1961-02-14,Cairo,,Egypt,Innovation Strategy,Social Media Influence and Word-of-Mouth Propagation
Rachel Long,1902-06-08,Melbourne,Victoria,Australia,Pricing Strategy,Luxury Brand Scarcity and Prestige Positioning
Eric Wood,1974-02-11,Melbourne,Victoria,Australia,Advertising Strategy,Pricing Elasticity and Consumer Choice Architecture
Ruth Gomez,1955-11-26,Melbourne,Victoria,Australia,Retail Strategy,Cross-Cultural Consumer Behavior Analysis
Nicole Lee,1918-07-23,Berlin,,Germany,Marketing Analytics,B2B Relationship Marketing Frameworks
William Brown,1928-11-02,Seoul,,South Korea,Retail Strategy,Luxury Brand Scarcity and Prestige Positioning
Cynthia Morgan,1933-07-08,Milan,,Italy,Customer Psychology,Service Quality and Customer Satisfaction Metrics
Debra Foster,1964-11-07,Seoul,,South Korea,Academic Marketing Research,Service Quality and Customer Satisfaction Metrics
Anna Myers,1943-09-05,Cairo,,Egypt,Brand Management,Cross-Cultural Consumer Behavior Analysis
Katherine Walker,1941-11-21,Cairo,,Egypt,Marketing Science,Consumer Decision Journey Modelling
Elizabeth Howard,1947-11-22,Paris,,France,Brand Strategy,Innovation Diffusion and New Product Adoption Models
Anthony Mitchell,1909-04-09,London,,United Kingdom,Branding Consultancy,Brand Equity Valuation Frameworks
Nicholas Alvarez,1970-01-03,Buenos Aires,,Argentina,Academic Marketing Research,Cross-Cultural Consumer Behavior Analysis
Debra Nguyen,1977-01-18,Milan,,Italy,Academic Marketing Research,Social Media Influence and Word-of-Mouth Propagation
Angela Parker,1981-04-01,Singapore,,Singapore,Consumer Research,B2B Relationship Marketing Frameworks
Edward Thompson,1909-11-11,São Paulo,São Paulo,Brazil,Market Research,Cross-Cultural Consumer Behavior Analysis
Sandra Martin,1921-02-24,Milan,,Italy,Market Research,Social Media Influence and Word-of-Mouth Propagation
Daniel Collins,1950-05-03,Melbourne,Victoria,Australia,Branding Consultancy,Neuromarketing and Emotional Engagement Measurement
Jack Kelly,1925-08-05,Zurich,,Switzerland,Brand Management,Retail Shopper Psychology and In-Store Decision Dynamics
Angela Moore,1907-09-16,Cape Town,,South Africa,Luxury Brand Strategy,Retail Shopper Psychology and In-Store Decision Dynamics
Patrick Walker,1967-10-15,Toronto,Ontario,Canada,Marketing Strategy,Brand Equity Valuation Frameworks
Kimberly Clark,1926-08-04,London,,United Kingdom,Customer Psychology,Empirical Generalizations in Marketing
Kimberly Torres,1956-01-23,Buenos Aires,,Argentina,Pricing Strategy,Cross-Cultural Consumer Behavior Analysis
Rachel Parker,1961-09-25,Berlin,,Germany,Marketing Strategy,Pricing Elasticity and Consumer Choice Architecture
Christopher Nelson,1906-07-06,Buenos Aires,,Argentina,Brand Strategy,Brand Personality Scale and Self-Congruity Theory
Mary Ruiz,1946-04-28,Melbourne,Victoria,Australia,Advertising Strategy,Neuromarketing and Emotional Engagement Measurement
Larry Baker,1968-07-26,Singapore,,Singapore,Marketing Strategy,Pricing Elasticity and Consumer Choice Architecture
Jason Turner,1977-09-16,Amsterdam,,Netherlands,Brand Management,Retail Shopper Psychology and In-Store Decision Dynamics
Steven Harris,1984-06-21,Mumbai,Maharashtra,India,Product Marketing,Brand Personality Scale and Self-Congruity Theory
Sarah King,1941-10-27,London,,United Kingdom,Market Research,Brand Equity Valuation Frameworks
Daniel Foster,1909-06-25,Seoul,,South Korea,Brand Management,Brand Personality Scale and Self-Congruity Theory
Patricia Ramirez,1920-05-06,Seoul,,South Korea,Consumer Research,Omnichannel Retail Strategy and Customer Experience
Nicole Turner,1935-01-09,London,,United Kingdom,Marketing Science,Omnichannel Retail Strategy and Customer Experience
Catherine Adams,1969-01-15,Tokyo,,Japan,Product Marketing,Consumer Decision Journey Modelling
Samuel Myers,1972-06-06,Buenos Aires,,Argentina,Academic Marketing Research,Cross-Cultural Consumer Behavior Analysis
John Wood,1962-01-12,Stockholm,,Sweden,Service Marketing,Social Media Influence and Word-of-Mouth Propagation
Elizabeth Gutierrez,1964-01-03,Amsterdam,,Netherlands,Brand Management,Brand Personality Scale and Self-Congruity Theory
Catherine Peterson,1917-01-19,Chicago,Illinois,United States,Academic Marketing Research,Neuromarketing and Emotional Engagement Measurement
Sharon Stewart,1932-02-23,Sydney,New South Wales,Australia,Branding Consultancy,Digital Attribution and Customer Lifetime Value Modeling
Carolyn Phillips,1939-03-21,New York City,New York,United States,Marketing Strategy,Luxury Brand Scarcity and Prestige Positioning
Cynthia Miller,1912-03-19,Melbourne,Victoria,Australia,Luxury Brand Strategy,Luxury Brand Scarcity and Prestige Positioning
Gregory Kim,1919-04-12,London,,United Kingdom,Branding Consultancy,Pricing Elasticity and Consumer Choice Architecture
Amanda Davis,1977-08-23,Toronto,Ontario,Canada,Marketing Analytics,Brand Personality Scale and Self-Congruity Theory
Shirley Turner,1981-04-16,Mumbai,Maharashtra,India,Consumer Research,Brand Equity Valuation Frameworks
Matthew Parker,1974-05-27,Melbourne,Victoria,Australia,Product Marketing,Digital Attribution and Customer Lifetime Value Modeling
Carolyn Jones,1956-12-14,Paris,,France,Consumer Research,Behavioral Nudges in Consumer Choice
Tyler Perez,1968-11-02,Amsterdam,,Netherlands,Behavioral Economics,Empirical Generalizations in Marketing
Eric Taylor,1983-06-07,Amsterdam,,Netherlands,Innovation Strategy,Retail Shopper Psychology and In-Store Decision Dynamics
